100000,Amie,14,100.0
100001,Brad,15,0.0
100002,Cory,10,100.0
100003,Dave,5,48.0
100004,Earl,21,500.0
100005,Flem,18,1.0
100006,Gary,8,20.0
100007,Hugh,65,30.0
100008,Iggy,43,74.0
100009,Joan,55,32.0
100010,Kyle,16,88.0
100011,Smaug,12,1000.0
100012,Mary,17,6.0
100013,Nick,13,2.0
100014,Omar,18,24.0
100015,Patt,24,45.0
100016,Quin,42,355.0
100017,Ruth,45,119.0
100018,Snow,74,20.0
100019,Tamy,81,25.0
100020,Ulsa,2,75.0
100021,Vern,9,90.0
100022,Will,9,220.0
100023,Xeon,17,453.0
100024,Ying,19,76.0
100025,Zack,22,35.0
